rank,pid,name,hop1_count,hop2_count,hop3_count,hop4_count,avgDistance_diff
1,2231,Samuel L. Jackson,4061,140039,18053,76,-1.5e-05
2,5293,Willem Dafoe,3595,134286,24266,82,3e-05
3,380,Robert De Niro,3816,131476,26900,37,4.9e-05
4,192,Morgan Freeman,3433,132207,26488,101,-4.1e-05
5,62,Bruce Willis,2999,132942,26219,69,-1.8e-05
6,3896,Liam Neeson,3081,132300,26787,61,-2.1e-05
7,2963,Nicolas Cage,3197,131022,27957,53,-2.3e-05
8,1892,Matt Damon,3176,130642,28381,30,3.7e-05
9,2283,Stanley Tucci,2786,131348,28002,93,-1.9e-05
10,18999,J.K. Simmons,3111,130326,28675,117,2.2e-05
11,13242,Paul Giamatti,2901,129162,30103,63,-4.7e-05
12,1230,John Goodman,2804,128809,30545,71,-2.6e-05
13,57755,Woody Harrelson,2655,128607,30883,84,3.7e-05
14,884,Steve Buscemi,2648,127565,31969,47,1.8e-05
15,4173,Anthony Hopkins,2554,127270,32307,98,9e-06
16,28633,Richard Jenkins,2249,127676,32226,78,4.4e-05
17,17401,Stephen Root,2301,127497,32361,70,-4.3e-05
18,64,Gary Oldman,2187,127104,32905,33,-4.4e-05
19,3223,Robert Downey Jr.,2218,127152,32711,148,-1.3e-05
20,31,Tom Hanks,2955,125417,33771,86,1.4e-05
21,2227,Nicole Kidman,2410,126152,33566,101,-5e-06
22,4690,Christopher Walken,2399,125977,33793,60,-4.4e-05
23,7447,Alec Baldwin,2818,125157,34108,146,-2.5e-05
24,4038,Susan Sarandon,2374,125795,33985,75,-2.1e-05
25,141762,Joe Chrest,2572,125251,34302,104,-3e-05
26,15831,Frank Welker,2754,124784,34594,97,-3.8e-05
27,5064,Meryl Streep,2719,124729,34724,57,-1.4e-05
28,6065,Dennis Quaid,2661,124879,34525,164,3.6e-05
29,2282,Ben Kingsley,2248,125483,34381,117,1.4e-05
30,287,Brad Pitt,2390,125131,34608,100,2.9e-05
31,1231,Julianne Moore,2060,125679,34360,130,4e-06
32,1241,John Turturro,2611,124427,35122,69,-4.7e-05
33,6949,John Malkovich,2083,125068,35064,14,-2.8e-05
34,1248,Brian Cox,1953,125236,34937,103,-1.3e-05
35,85,Johnny Depp,2176,124658,35300,95,-4.8e-05
36,1532,Bill Murray,2733,123189,36178,129,5e-05
37,335,Michael Shannon,2312,123810,35985,122,-3.1e-05
38,887,Owen Wilson,2612,123082,36445,90,-4e-05
39,3036,John Cusack,2200,123689,36221,119,-2.3e-05
40,1245,Scarlett Johansson,2208,123651,36199,171,3.3e-05
41,5723,John Leguizamo,2290,123308,36497,134,8e-06
42,2975,Laurence Fishburne,2189,123429,36514,97,-2.1e-05
43,13240,Mark Wahlberg,2372,122983,36719,155,3e-05
44,1462,Tim Blake Nelson,1782,123576,36742,129,-1.2e-05
45,880,Ben Affleck,2324,122411,37381,113,-1.1e-05
46,6885,Charlize Theron,1824,123386,36911,108,1.2e-05
47,23626,Liev Schreiber,2406,121895,37835,93,3.5e-05
48,228,Ed Harris,1879,122914,37360,76,4.6e-05
49,19,Allison Janney,2205,122311,37571,142,-4.9e-05
50,3895,Michael Caine,2231,122196,37710,92,3.1e-05
51,658,Alfred Molina,1828,122825,37471,105,2e-06
52,65827,Keith David,2345,121757,38012,115,-2.6e-05
53,4764,John C. Reilly,1798,122680,37601,150,4.3e-05
54,11477,Ray Liotta,1812,122451,37860,106,1.1e-05
55,6384,Keanu Reeves,1970,122087,38036,136,-8e-06
56,2157,Robin Williams,2142,121534,38442,111,2.6e-05
57,3894,Christian Bale,2086,121618,38427,98,1.9e-05
58,500,Tom Cruise,2304,121297,38406,222,-2.6e-05
59,1271,Andy Garcia,2112,121562,38424,131,4.7e-05
60,40481,Luis Guzmán,2039,121669,38409,112,-3e-05
61,3905,William H. Macy,2076,121501,38545,107,1.9e-05
62,10205,Sigourney Weaver,1756,121825,38490,158,-1.9e-05
63,112,Cate Blanchett,2400,120296,39411,122,4.5e-05
64,16851,Josh Brolin,1704,121640,38813,72,3.2e-05
65,31028,Richard Schiff,2255,120543,39317,114,-4e-05
66,2178,Forest Whitaker,1890,121214,39001,124,-1.4e-05
67,6807,Sam Rockwell,1838,121136,39190,65,4.4e-05
68,1204,Julia Roberts,2072,120732,39294,131,-4.4e-05
69,524,Natalie Portman,1743,121363,39000,123,-2.7e-05
70,8534,Kathy Bates,2028,120633,39450,118,2.9e-05
71,10297,Matthew McConaughey,2114,120477,39498,140,-3.4e-05
72,1160,Michelle Pfeiffer,1941,120658,39514,116,3.5e-05
73,55636,Donald Sutherland,1875,120640,39575,139,1e-06
74,3,Harrison Ford,2042,120157,39910,120,3e-06
75,1733,Nick Nolte,1747,120727,39602,153,2.9e-05
76,15735,Helen Mirren,2155,119891,40054,129,5e-06
77,11064,David Strathairn,1729,120607,39789,104,-1.1e-05
78,51329,Bradley Cooper,2142,119786,40164,137,-3.9e-05
79,934,Russell Crowe,2129,119635,40340,125,-2.2e-05
80,886,William Fichtner,1783,119866,40473,107,9e-06
81,518,Danny DeVito,2282,118901,40875,171,0.0
82,20582,Michael Papajohn,2224,118895,40943,167,2.8e-05
83,5292,Denzel Washington,2594,118017,41449,169,-9e-06
84,70851,Jack Black,2031,119098,40929,171,-2e-05
85,2176,Tommy Lee Jones,2185,118717,41194,133,-4e-06
86,21089,Bruce Greenwood,1887,119263,40926,153,2.8e-05
87,4785,Jeff Goldblum,2205,118496,41410,118,1.9e-05
88,1896,Don Cheadle,1723,119312,41022,172,-3.6e-05
89,22250,Rance Howard,2016,118716,41309,188,2.5e-05
90,3141,Marisa Tomei,1950,118602,41486,191,-4e-05
91,14888,Bruce McGill,1858,118532,41730,109,2e-05
92,4483,Dustin Hoffman,1780,118626,41700,123,-1.2e-05
93,53650,Anthony Mackie,1945,118180,41987,117,-3.4e-05
94,53,Peter Stormare,1804,118392,41916,117,-2e-06
95,12074,John Lithgow,2013,118003,42057,156,-4.1e-05
96,17485,Oliver Platt,1763,118433,41925,108,-5e-06
97,21127,Bobby Cannavale,1888,118168,42072,101,4.4e-05
98,454,Michael Peña,1975,118010,42120,124,-1.2e-05
99,205,Kirsten Dunst,1808,118314,41981,126,-1.5e-05
100,2954,Jeffrey Wright,2217,117488,42390,134,-1.7e-05
101,3061,Ewan McGregor,2077,117683,42364,105,2.9e-05
102,1233,Philip Seymour Hoffman,1844,118227,41942,216,3.2e-05
103,290,Christopher Plummer,1825,118138,42158,108,4.9e-05
104,72466,Colin Farrell,2146,117502,42450,131,-4.6e-05
105,6574,Clancy Brown,1803,118044,42210,172,-6e-06
106,1121,Benicio del Toro,2025,117527,42528,149,3e-06
107,1979,Kevin Spacey,1716,118093,42328,92,-2.8e-05
108,23659,Will Ferrell,2239,116931,42888,171,-2.6e-05
109,15277,Jon Favreau,1724,117871,42487,147,-1.9e-05
110,6944,Octavia Spencer,1984,117149,42962,134,4.6e-05
111,24045,Joseph Gordon-Levitt,1713,117581,42821,114,0.0
112,74242,Shea Whigham,2010,117015,43061,143,6e-06
113,3489,Naomi Watts,1804,117322,42989,114,-2.5e-05
114,103,Mark Ruffalo,1722,117386,43003,118,1.6e-05
115,10182,Ving Rhames,1768,117209,43168,84,3e-05
116,1269,Kevin Costner,2182,116337,43602,108,5e-05
117,10127,Jon Voight,1858,117047,43166,158,-2.4e-05
118,1158,Al Pacino,2193,116300,43614,122,2.8e-05
119,11160,Danny Trejo,1894,116888,43338,109,1e-05
120,12799,Jeremy Piven,1484,117649,42999,97,-0.0
121,2232,Michael Keaton,1753,117204,43062,210,2.3e-05
122,452,Margo Martindale,1679,117284,43118,148,-4e-05
123,2047,Danny Glover,1793,116984,43326,126,-3.2e-05
124,2372,Ron Perlman,1585,117356,43193,95,4.8e-05
125,134,Jamie Foxx,1926,116657,43531,115,-2.4e-05
126,707,Dan Aykroyd,2245,116074,43692,218,-2.8e-05
127,14721,Kevin Dunn,2034,116394,43688,113,-4.6e-05
128,3982,Xander Berkeley,1585,117257,43236,151,4e-06
129,1736,James Remar,1509,117313,43337,70,-4e-06
130,12052,Gwyneth Paltrow,1690,116891,43487,161,2.7e-05
131,38673,Channing Tatum,1737,116673,43648,171,-4.7e-05
132,3087,Robert Duvall,2165,115785,44047,232,2.6e-05
